"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",0.196420364640416,0.196186919156287,-8.29565093239227,1.24990116047595e-16,0.133711115971925,0.288539657791613
"insured_factorNo",1.54586788779572,0.145996501279214,2.98353377300184,0.0028577094314537,1.16113249006975,2.05808342024297
"age_group25–44",0.980751561909191,0.183348484102812,-0.106006337727651,0.915579889222355,0.684651715810436,1.40490939257886
"age_group45–64",0.846823977998133,0.18663166401787,-0.890858606369046,0.373030889234654,0.587365972359468,1.22089273716679
"age_group65+",0.746712369773797,0.207876396947938,-1.40504270539699,0.160046058790055,0.496801377640681,1.12233860103439
"sexFemale",1.07733165976016,0.1065182943104,0.699291131456049,0.484389732297212,0.874314424085512,1.32748982877133
"poverty100–199% FPL",0.776030711336028,0.14622157589527,-1.73410238239879,0.0829371024314298,0.582635172544348,1.03362051128292
"poverty200–399% FPL",0.622491392275054,0.173723630728441,-2.72861830265598,0.0063734382925992,0.442830912174756,0.875041743480673
"poverty400–599% FPL",0.621049738002719,0.172462553185392,-2.76201469858668,0.00575724444197011,0.44289884726246,0.870859744741398
"poverty600%+ FPL",0.558908012837108,0.159281038459546,-3.65247729193925,0.000261324325437619,0.40901597201918,0.763730974297689
